method,domain,threshold,conflict_rate,n
统一A1 90%分位,arxiv,0.2713518749361697,0.028188865398167725,1419
统一A1 90%分位,book,0.2713518749361697,0.1111111111111111,171
统一A1 90%分位,c4,0.2713518749361697,0.2876,10000
统一A1 90%分位,commoncrawl,0.2713518749361697,0.07686721991701245,9640
统一A1 90%分位,github,0.2713518749361697,0.0216,10000
统一A1 90%分位,stackexchange,0.2713518749361697,0.0149,10000
统一A1 90%分位,wikipedia,0.2713518749361697,0.1082,10000
各域内部90%分位,arxiv,0.2405584585589127,0.10007047216349542,1419
各域内部90%分位,book,0.274386655220065,0.09941520467836257,171
各域内部90%分位,c4,0.35306877439507284,0.1,10000
各域内部90%分位,commoncrawl,0.2590078821075407,0.1,9640
各域内部90%分位,github,0.21120773357159123,0.1,10000
各域内部90%分位,stackexchange,0.18270563095556544,0.1,10000
各域内部90%分位,wikipedia,0.27521791250547606,0.1,10000
绝对阈值 0.10,arxiv,0.1,0.9922480620155039,1419
绝对阈值 0.10,book,0.1,0.9707602339181286,171
绝对阈值 0.10,c4,0.1,0.9555,10000
绝对阈值 0.10,commoncrawl,0.1,0.8119294605809129,9640
绝对阈值 0.10,github,0.1,0.7816,10000
绝对阈值 0.10,stackexchange,0.1,0.6036,10000
绝对阈值 0.10,wikipedia,0.1,0.8357,10000
绝对阈值 0.05,arxiv,0.05,1.0,1419
绝对阈值 0.05,book,0.05,1.0,171
绝对阈值 0.05,c4,0.05,0.9985,10000
绝对阈值 0.05,commoncrawl,0.05,0.971058091286307,9640
绝对阈值 0.05,github,0.05,0.9726,10000
绝对阈值 0.05,stackexchange,0.05,0.9435,10000
绝对阈值 0.05,wikipedia,0.05,0.9715,10000
