domain,delta_share,delta_macro_loss,max_abs_domain_loss_change
ubuntu_irc,0.01,-0.006253370385368799,0.07686170773961187
dm_mathematics,0.01,-0.005982293967158069,0.09465717214824032
stackexchange,0.01,-0.0012216947090239161,0.010804063986753043
pubmed_abstracts,0.01,-0.00034872387463711865,0.011075000021068426
wikipedia_en,0.01,5.518614390159344e-05,0.010530942457243064
gutenberg_pg_19,0.01,0.0002014885093509692,0.01153973173460976
arxiv,0.01,0.00021029070427891483,0.013432974765311911
pubmed_central,0.01,0.0002806888568938754,0.012137638726453126
github,0.01,0.00028079251609216025,0.013230851644469688
pile_cc,0.01,0.0002894764779680733,0.0038689247887706557
nih_exporter,0.01,0.0003562708374477398,0.010431571152259345
uspto_backgrounds,0.01,0.00036299452868911923,0.010913160604991923
freelaw,0.01,0.0005773454012435709,0.013397310707715882
hackernews,0.01,0.0010490205496033616,0.0285050543531149
europarl,0.01,0.0015950309878721104,0.007128016337164311
philpapers,0.01,0.0035119124095510314,0.00904023747395133
enron_emails,0.01,0.01590429860340346,0.04051110971360039
