domain,effect_mag_1m,effect_mag_60m,effect_mag_1B,kappa
arxiv,0.15467271998662882,0.08880881461930575,0.06250887457104981,0.3027270378740842
freelaw,0.13153490001536738,0.10748712197661907,0.11645892505123344,0.045863858243266296
pubmed_central,0.1339446437646083,0.09487854445944899,0.05544197104608731,0.2867780437301619
wikipedia_en,0.08454268660028601,0.07957883891369273,0.0818580670959275,0.012442481880175221
dm_mathematics,0.30074079958835515,0.1524003341322309,0.07731456157999,0.44768038655402037
github,0.1663789060936439,0.10069892406334523,0.11832911690999968,0.125827020054494
stackexchange,0.12085158956541783,0.08398109411847873,0.07529617209220124,0.16111466935974494
gutenberg_pg_19,0.06494057104645125,0.05931175383894445,0.08068958051359593,-0.06344186394354547
pile_cc,0.044316339327051125,0.04328765953764936,0.09409904713868414,-0.23185827279631605
ubuntu_irc,0.20447034632108183,0.13200005306214563,0.10286890330871541,0.2302294643130599
hackernews,0.055836754002318044,0.04956247227178304,0.09190869385537971,-0.14923057303795184
pubmed_abstracts,0.08219903598076839,0.08551099373155883,0.05029816977641338,0.15025492404294674
uspto_backgrounds,0.08364863832308889,0.07337229498109825,0.044059387264921625,0.20355505412869906
