scale,observed,variant,macro_rmse,macro_spearman,n
train_1m,True,baseline_only,0.43235656128716765,,512
train_1m,True,frozen_1B,0.43577867250679,0.11716407528524507,512
train_1m,True,extrap_trend,0.39529631593150266,0.4481554735869354,512
train_1m,True,decay_fusion,0.43577867250679,0.11716407528524507,512
test_1m,True,baseline_only,0.44530860349149115,,256
test_1m,True,frozen_1B,0.4565384415259314,-0.013449158846417942,256
test_1m,True,extrap_trend,0.4148741611130139,0.36763919089036384,256
test_1m,True,decay_fusion,0.4565384415259314,-0.013449158846417942,256
test_60m,True,baseline_only,0.5031869065220022,,256
test_60m,True,frozen_1B,0.523554211010703,-0.012281843671320666,256
test_60m,True,extrap_trend,0.5211536611428326,0.1197814145113298,256
test_60m,True,decay_fusion,0.523554211010703,-0.012281843671320666,256
test_1B,True,baseline_only,0.17709292322257408,,64
test_1B,True,frozen_1B,0.17257965472462183,0.8170787545787545,64
test_1B,True,extrap_trend,0.17257965472462183,0.8170787545787545,64
test_1B,True,decay_fusion,0.17257965472462183,0.8170787545787545,64
est_10b,False,baseline_only,0.0991317587622343,,63
est_10b,False,frozen_1B,0.1644776883613934,-0.0837173579109063,63
est_10b,False,extrap_trend,0.17940168124387573,0.02131336405529954,63
est_10b,False,decay_fusion,0.1372775430423749,-0.0837173579109063,63
est_70b,False,baseline_only,0.1104453290423336,,63
est_70b,False,frozen_1B,0.17318367804177645,-0.0976862519201229,63
est_70b,False,extrap_trend,0.20268514849394104,0.07123655913978495,63
est_70b,False,decay_fusion,0.13333834958418228,-0.0976862519201229,63
