N_params_B,D_tokens_B,Q_score,val_loss_B6,val_loss_B8,data_type,B8_minus_B6_loss
0.7,10,0.1,3.1919,0.615,calibrated,-2.5769
0.7,10,0.2,3.1552,0.8685,calibrated,-2.2866999999999997
0.7,10,0.3,3.0155,1.081,calibrated,-1.9344999999999999
0.7,10,0.4,3.0148,1.3192,calibrated,-1.6956000000000002
0.7,10,0.6,2.9615,1.7963,calibrated,-1.1652
0.7,10,0.8,2.8692,2.222,calibrated,-0.6472000000000002
0.7,10,0.9,2.7928,2.5041,calibrated,-0.28869999999999996
0.7,10,1.0,2.8304,2.6504,calibrated,-0.18000000000000016
0.7,50,0.1,2.8444,0.5587,calibrated,-2.2857
0.7,50,0.2,2.8069,0.7563,calibrated,-2.0506
0.7,50,0.3,2.7973,1.0221,calibrated,-1.7752
0.7,50,0.4,2.7324,1.1864,calibrated,-1.5460000000000003
0.7,50,0.6,2.6134,1.6494,calibrated,-0.964
0.7,50,0.8,2.6409,2.0562,calibrated,-0.5846999999999998
0.7,50,0.9,2.5496,2.294,calibrated,-0.2555999999999998
0.7,50,1.0,2.5581,2.492,calibrated,-0.06610000000000005
0.7,150,0.1,2.7893,0.5295,calibrated,-2.2598
0.7,150,0.2,2.6375,0.7452,calibrated,-1.8923
0.7,150,0.3,2.6856,0.9382,calibrated,-1.7473999999999998
0.7,150,0.4,2.5991,1.1468,calibrated,-1.4523
0.7,150,0.6,2.5608,1.5755,calibrated,-0.9853000000000001
0.7,150,0.8,2.5043,2.0079,calibrated,-0.4964000000000004
0.7,150,0.9,2.4035,2.2463,calibrated,-0.1572
0.7,150,1.0,2.3542,2.3563,calibrated,0.0020999999999999908
0.7,300,0.1,2.6722,0.5247,calibrated,-2.1475
0.7,300,0.2,2.6214,0.7291,calibrated,-1.8923
0.7,300,0.3,2.5759,0.9233,calibrated,-1.6525999999999998
0.7,300,0.4,2.5792,1.1189,calibrated,-1.4603000000000002
0.7,300,0.6,2.4842,1.5399,calibrated,-0.9442999999999999
0.7,300,0.8,2.4416,1.9103,calibrated,-0.5313000000000001
0.7,300,0.9,2.4128,2.1926,calibrated,-0.22019999999999973
0.7,300,1.0,2.3149,2.3162,calibrated,0.0012999999999996348
1.0,10,0.1,3.0483,0.5575,calibrated,-2.4907999999999997
1.0,10,0.2,2.968,0.7909,calibrated,-2.1771
1.0,10,0.3,2.8948,1.009,calibrated,-1.8858000000000001
1.0,10,0.4,2.8223,1.2421,calibrated,-1.5801999999999998
1.0,10,0.6,2.8442,1.7308,calibrated,-1.1134
1.0,10,0.8,2.7546,2.1998,calibrated,-0.5547999999999997
1.0,10,0.9,2.7505,2.4605,calibrated,-0.29000000000000004
1.0,10,1.0,2.6827,2.6513,calibrated,-0.031400000000000095
1.0,50,0.1,2.8264,0.5001,calibrated,-2.3263
1.0,50,0.2,2.8076,0.7393,calibrated,-2.0683
1.0,50,0.3,2.6823,0.948,calibrated,-1.7343000000000002
1.0,50,0.4,2.6528,1.1772,calibrated,-1.4756
1.0,50,0.6,2.6707,1.5703,calibrated,-1.1004
1.0,50,0.8,2.4922,2.0222,calibrated,-0.46999999999999975
1.0,50,0.9,2.5805,2.24,calibrated,-0.3404999999999996
1.0,50,1.0,2.5615,2.4688,calibrated,-0.09270000000000023
1.0,150,0.1,2.6482,0.5,calibrated,-2.1482
1.0,150,0.2,2.6343,0.692,calibrated,-1.9423000000000001
1.0,150,0.3,2.6133,0.898,calibrated,-1.7153
1.0,150,0.4,2.5016,1.1376,calibrated,-1.3639999999999999
1.0,150,0.6,2.5859,1.5017,calibrated,-1.0842
1.0,150,0.8,2.3211,1.9303,calibrated,-0.39080000000000004
1.0,150,0.9,2.3833,2.1019,calibrated,-0.2814000000000001
1.0,150,1.0,2.334,2.2789,calibrated,-0.05509999999999993
1.0,300,0.1,2.6943,0.5,calibrated,-2.1943
1.0,300,0.2,2.5728,0.6746,calibrated,-1.8982
1.0,300,0.3,2.4688,0.8578,calibrated,-1.6109999999999998
1.0,300,0.4,2.5249,1.1116,calibrated,-1.4133000000000002
1.0,300,0.6,2.4469,1.5153,calibrated,-0.9315999999999998
1.0,300,0.8,2.4239,2.0053,calibrated,-0.4186000000000001
1.0,300,0.9,2.2509,2.0139,calibrated,-0.2370000000000001
1.0,300,1.0,2.342,2.3325,calibrated,-0.009500000000000064
2.8,10,0.1,2.9592,0.5,calibrated,-2.4592
2.8,10,0.2,2.8431,0.6187,calibrated,-2.2244
2.8,10,0.3,2.8867,0.8552,calibrated,-2.0315
2.8,10,0.4,2.771,1.1197,calibrated,-1.6513
2.8,10,0.6,2.7064,1.6092,calibrated,-1.0972
2.8,10,0.8,2.651,2.1201,calibrated,-0.5308999999999999
2.8,10,0.9,2.6397,2.3574,calibrated,-0.2822999999999998
2.8,10,1.0,2.484,2.5409,calibrated,0.05690000000000017
2.8,50,0.1,2.5785,0.5,calibrated,-2.0785
2.8,50,0.2,2.4874,0.5815,calibrated,-1.9059
2.8,50,0.3,2.5971,0.775,calibrated,-1.8221000000000003
2.8,50,0.4,2.5963,1.0089,calibrated,-1.5874
2.8,50,0.6,2.5446,1.457,calibrated,-1.0876
2.8,50,0.8,2.3227,1.9293,calibrated,-0.3934000000000002
2.8,50,0.9,2.3871,2.1407,calibrated,-0.2464000000000004
2.8,50,1.0,2.2984,2.3101,calibrated,0.011699999999999822
2.8,150,0.1,2.4446,0.5,calibrated,-1.9445999999999999
2.8,150,0.2,2.4506,0.543,calibrated,-1.9076
2.8,150,0.3,2.3889,0.7457,calibrated,-1.6432
2.8,150,0.4,2.5101,0.9557,calibrated,-1.5544
2.8,150,0.6,2.2938,1.3479,calibrated,-0.9459
2.8,150,0.8,2.2577,1.8407,calibrated,-0.4169999999999998
2.8,150,0.9,2.2652,2.0695,calibrated,-0.19569999999999999
2.8,150,1.0,2.2464,2.2385,calibrated,-0.007899999999999796
2.8,300,0.1,2.446,0.5,calibrated,-1.9460000000000002
2.8,300,0.2,2.3643,0.5456,calibrated,-1.8187000000000002
2.8,300,0.3,2.3988,0.7388,calibrated,-1.6600000000000001
2.8,300,0.4,2.3719,0.9673,calibrated,-1.4046
2.8,300,0.6,2.3342,1.3023,calibrated,-1.0319
2.8,300,0.8,2.2389,1.7798,calibrated,-0.45910000000000006
2.8,300,0.9,2.2601,1.9735,calibrated,-0.28659999999999997
2.8,300,1.0,2.1271,2.1322,calibrated,0.0051000000000001044
4.0,10,0.1,2.855,0.5,calibrated,-2.355
4.0,10,0.2,2.872,0.5947,calibrated,-2.2773
4.0,10,0.3,2.8016,0.8162,calibrated,-1.9854
4.0,10,0.4,2.6993,1.0969,calibrated,-1.6024
4.0,10,0.6,2.631,1.5567,calibrated,-1.0742999999999998
4.0,10,0.8,2.6463,2.1045,calibrated,-0.5418000000000003
4.0,10,0.9,2.6487,2.3491,calibrated,-0.29959999999999987
4.0,10,1.0,2.4852,2.4904,calibrated,0.0052000000000003155
4.0,50,0.1,2.5657,0.5,calibrated,-2.0657
4.0,50,0.2,2.6024,0.5298,calibrated,-2.0725999999999996
4.0,50,0.3,2.5078,0.7483,calibrated,-1.7595
4.0,50,0.4,2.5793,0.9837,calibrated,-1.5956
4.0,50,0.6,2.4706,1.4472,calibrated,-1.0234
4.0,50,0.8,2.4391,1.9213,calibrated,-0.5177999999999998
4.0,50,0.9,2.3223,2.0499,calibrated,-0.27239999999999975
4.0,50,1.0,2.4105,2.4043,calibrated,-0.006199999999999761
4.0,150,0.1,2.494,0.5,calibrated,-1.9940000000000002
4.0,150,0.2,2.4505,0.519,calibrated,-1.9314999999999998
4.0,150,0.3,2.4411,0.706,calibrated,-1.7351
4.0,150,0.4,2.3929,0.9268,calibrated,-1.4661
4.0,150,0.6,2.3873,1.3551,calibrated,-1.0322000000000002
4.0,150,0.8,2.2679,1.7552,calibrated,-0.5126999999999999
4.0,150,0.9,2.2339,2.0344,calibrated,-0.1995
4.0,150,1.0,2.2102,2.1522,calibrated,-0.05799999999999983
4.0,300,0.1,2.4125,0.5,calibrated,-1.9125
4.0,300,0.2,2.3793,0.5,calibrated,-1.8793000000000002
4.0,300,0.3,2.2697,0.7051,calibrated,-1.5646
4.0,300,0.4,2.3711,0.897,calibrated,-1.4741000000000002
4.0,300,0.6,2.2294,1.3625,calibrated,-0.8669
4.0,300,0.8,2.1962,1.7422,calibrated,-0.4540000000000002
4.0,300,0.9,2.1753,1.9926,calibrated,-0.18270000000000008
4.0,300,1.0,2.1975,2.2315,calibrated,0.03400000000000025
6.9,10,0.1,2.7585,0.5,calibrated,-2.2585
6.9,10,0.2,2.6605,0.5272,calibrated,-2.1332999999999998
6.9,10,0.3,2.72,0.7496,calibrated,-1.9704000000000002
6.9,10,0.4,2.6823,1.0046,calibrated,-1.6777000000000002
6.9,10,0.6,2.5269,1.4702,calibrated,-1.0567
6.9,10,0.8,2.5341,2.0045,calibrated,-0.5295999999999998
6.9,10,0.9,2.5395,2.2827,calibrated,-0.2567999999999997
6.9,10,1.0,2.4679,2.514,calibrated,0.046099999999999586
6.9,50,0.1,2.5548,0.5,calibrated,-2.0548
6.9,50,0.2,2.4799,0.5,calibrated,-1.9799000000000002
6.9,50,0.3,2.4833,0.6906,calibrated,-1.7927
6.9,50,0.4,2.4979,0.9193,calibrated,-1.5786
6.9,50,0.6,2.4093,1.3376,calibrated,-1.0717
6.9,50,0.8,2.2784,1.8718,calibrated,-0.4066000000000001
6.9,50,0.9,2.347,2.0446,calibrated,-0.3024
6.9,50,1.0,2.2632,2.2898,calibrated,0.02660000000000018
6.9,150,0.1,2.3272,0.5,calibrated,-1.8272
6.9,150,0.2,2.3658,0.5,calibrated,-1.8658000000000001
6.9,150,0.3,2.3708,0.647,calibrated,-1.7238
6.9,150,0.4,2.3438,0.8733,calibrated,-1.4705
6.9,150,0.6,2.2064,1.3204,calibrated,-0.8859999999999999
6.9,150,0.8,2.2296,1.7305,calibrated,-0.4991000000000001
6.9,150,0.9,2.2482,2.0057,calibrated,-0.24250000000000016
6.9,150,1.0,2.1506,2.2001,calibrated,0.0495000000000001
6.9,300,0.1,2.3408,0.5,calibrated,-1.8408000000000002
6.9,300,0.2,2.3195,0.5,calibrated,-1.8195000000000001
6.9,300,0.3,2.3002,0.6383,calibrated,-1.6618999999999997
6.9,300,0.4,2.3167,0.8495,calibrated,-1.4672
6.9,300,0.6,2.2275,1.2789,calibrated,-0.9486000000000001
6.9,300,0.8,2.1189,1.6963,calibrated,-0.4226000000000001
6.9,300,0.9,2.1052,1.9181,calibrated,-0.18710000000000004
6.9,300,1.0,2.1363,2.1543,calibrated,0.018000000000000238
