replicate,E,A,B,alpha,beta
0,1.689831687148636,0.3540219901816059,1.2402415065505457,0.3399448972429873,0.27991373898556765
1,1.6898544363656232,0.353961145723983,1.240259805174352,0.3399832162823983,0.2798936278292898
2,1.6898614548684054,0.35389012626733535,1.2403419255206412,0.3400678583661692,0.27987326086201997
3,1.689819293777291,0.35389422073158033,1.2403640194665781,0.34006560466825153,0.2798517839845279
4,1.6897937802046623,0.35400691618061414,1.2403031281231844,0.33995784783336613,0.2798915647737148
5,1.6897023247622074,0.35417250261839767,1.2401924366127686,0.33985345609895856,0.27992613354036067
6,1.6897619094030756,0.35404771264291296,1.2403125088391047,0.33992685383448845,0.27989090387715904
7,1.6898906546337278,0.353911293959556,1.2402711968068776,0.3400213631337201,0.279897424914553
8,1.6897344616035066,0.35401076217664573,1.2403473039240522,0.3399496521919571,0.279855152428501
9,1.6898258491636158,0.35390524903092235,1.2403585275192088,0.3400534547811364,0.2798600001747526
10,1.6898741835560658,0.35389592318849644,1.240357677606777,0.34006497979503164,0.27988996928304166
11,1.6897702449394874,0.35402792437475095,1.2403500887243508,0.33994411810233804,0.27989478883333396
12,1.6899045368027386,0.3539498989717763,1.2402055902075393,0.33999509433151215,0.2799164188411436
13,1.689862296040707,0.3538886412632136,1.2403526309733062,0.3400725840424835,0.279876981468138
14,1.6897731656866584,0.35392877501868425,1.240450089686299,0.3400342586073417,0.27985650347725427
15,1.6898083459768782,0.35403815514907955,1.2402126119260226,0.33993618261016545,0.2799058086244396
16,1.6898062136556113,0.3538567773044043,1.2403988479634187,0.3400953440028228,0.27982601254023576
17,1.6898075481704058,0.3538961274016056,1.2404108045485507,0.3400603593966189,0.27985177809829326
18,1.689760800858259,0.35405968959788486,1.2402470734733289,0.3399250821949316,0.2799011531923594
19,1.6898583512935454,0.35392697685995145,1.2403326818065459,0.3400352491992269,0.2798895919094277
20,1.690150339900018,0.3537539840390595,1.2401346841909797,0.3401227275030567,0.27994257454524474
21,1.6898233921487222,0.3540161066287308,1.2402059367534362,0.33995113092419194,0.27989958742716237
22,1.6897848197105434,0.35394848259018374,1.2403153284147614,0.34001102096833474,0.279852942527043
23,1.6898170812823563,0.35393950646070943,1.2402861631309006,0.3400018832197282,0.27986516341794915
24,1.689765157176735,0.3540282274029212,1.2402384492835263,0.3399439418386775,0.2798762158685401
25,1.6897867608551576,0.353976287586017,1.240328937175323,0.33997311844624384,0.2798710049413902
26,1.6898861404122525,0.35379832650688076,1.2404143066718083,0.34013660209144925,0.27984139564008365
27,1.6896770705422461,0.35425249325675084,1.2401252206298896,0.33980089001476677,0.27994760742915503
28,1.6897675790079343,0.35400434112005025,1.2403073760496486,0.3399608614830194,0.27987459662161596
29,1.689818830415993,0.35387808492493616,1.2404125975076414,0.34007416939760327,0.27984824651726614
30,1.689787444803072,0.3539365666319798,1.2404302239513867,0.34002547799213717,0.27986474218094437
31,1.6898379286344427,0.3538811925788538,1.2404192837270516,0.3400772498096462,0.279868734627736
32,1.6897460088127416,0.35403060438084955,1.2403199593956122,0.33994454409652825,0.279878104638821
33,1.68992167229377,0.35397876379110765,1.240140160497454,0.3399764516428292,0.2799343609990943
34,1.689837365278941,0.3540243781843418,1.2402651348836542,0.3399470607143098,0.27992315010187585
35,1.6899185807538089,0.35395995629701876,1.2401877751674477,0.339987208298051,0.2799276813064011
36,1.6897338288611459,0.3539736298918364,1.2403819180674822,0.33998329311289993,0.2798438452938632
37,1.6897843945219257,0.3540194729919657,1.2402871923197392,0.3399529512895549,0.2798949213949852
