replicate,model,delta,gamma
0,exp_both,0.019550629449309596,0.34816228173096486
1,exp_both,0.011598604602497302,0.39357997704581843
2,exp_both,0.01227045581937671,0.3593022719166411
3,exp_both,0.0050184238933304965,0.37377491483611025
4,exp_both,0.021841141969020258,0.3529251287073746
5,exp_both,0.013912769852641244,0.3587682854542455
6,exp_both,0.013960035008174984,0.3805744323554047
7,exp_both,0.012271862975447563,0.36891555385838365
8,exp_both,0.01477152199431532,0.3642530719269643
9,exp_both,0.008816195434183292,0.37982077648289164
10,exp_both,0.016669179563092884,0.3693466958294421
11,exp_both,0.019055440015257465,0.36828003415207955
12,exp_both,0.010358100604422445,0.3730578634877088
13,exp_both,0.007166753641498793,0.3717192477300003
14,exp_both,0.00824586282466637,0.3745734571060669
15,exp_both,0.008775222724024683,0.37080991584883544
16,exp_both,0.018200486840641357,0.3496041090043304
17,exp_both,0.013125471451327659,0.3676581007365391
18,exp_both,0.017979095457320137,0.3688478418461505
19,exp_both,0.014683262138830146,0.35353572870226246
20,exp_both,0.01670149129695075,0.3610105831983976
21,exp_both,0.01778137109231708,0.36007722339721177
22,exp_both,0.018844800202042256,0.36441122238418094
23,exp_both,0.015529135477136613,0.3821535380658236
24,exp_both,0.018183899897630626,0.3587484725614058
25,exp_both,0.018270429487332707,0.36343160746794184
26,exp_both,0.018831882571445732,0.3641729338763168
27,exp_both,0.015643870245742132,0.37300400881588464
28,exp_both,0.024147659925050708,0.3631465103535141
29,exp_both,0.013385160874939435,0.3732710642142685
30,exp_both,0.017703221170447467,0.3498756406947775
31,exp_both,0.013435578707775224,0.3661861219468941
32,exp_both,0.011744638254530584,0.3629665789573358
33,exp_both,0.013579313882861363,0.3649148074681357
34,exp_both,0.014516824582300155,0.35534340802286457
35,exp_both,0.029093001255589467,0.34619967011526787
36,exp_both,0.009050361277953233,0.36397568390285767
37,exp_both,0.019451328976375463,0.36380444815799745
38,exp_both,0.013796990499678136,0.37896973666051476
39,exp_both,0.013039491741629168,0.37452568949134196
40,exp_both,0.022751824425168033,0.3509115524085123
41,exp_both,0.02592253730638608,0.3541585557826512
42,exp_both,0.01729100036390386,0.37858173889725766
43,exp_both,0.014922227186526539,0.36176041633295714
44,exp_both,0.019207535160892304,0.36292122593873305
45,exp_both,0.012798306693319945,0.3776839059480071
46,exp_both,0.012201142983226422,0.37907376577854474
47,exp_both,0.02057684574107602,0.3708351660394807
48,exp_both,0.013055915779777284,0.3628693291288291
49,exp_both,0.012267497817998504,0.3579705095157527
50,exp_both,0.016590032076347707,0.3606719592713907
51,exp_both,0.013943770423363852,0.35968737998634576
52,exp_both,0.029104664920198847,0.36716505588986204
53,exp_both,0.015162284867019298,0.3633691816515051
54,exp_both,0.009920412928633732,0.37265196840525167
55,exp_both,0.02124864704054611,0.3472997037559813
56,exp_both,0.015976167489474544,0.35747797225742234
57,exp_both,0.016146316894791516,0.36026557957000915
58,exp_both,0.019134053731400865,0.35714052225358617
59,exp_both,0.01482234618805949,0.404436830727439
60,exp_both,0.01065292322780108,0.3671492513931458
61,exp_both,0.01838169619417212,0.3706898962084935
62,exp_both,0.013755731417825972,0.3602083685655466
63,exp_both,0.011699484014217885,0.36084674053251004
64,exp_both,0.018578547429797976,0.35698354548786115
65,exp_both,0.014724497151661728,0.36838598887884827
66,exp_both,0.012230247030505155,0.3715412523511986
67,exp_both,0.021606430835637458,0.3501260560663914
68,exp_both,0.012569673173072856,0.3581073881357024
69,exp_both,0.0077217292016896364,0.3729810629988497
70,exp_both,0.01558343673522942,0.3669064149259803
71,exp_both,0.014406114767889612,0.35984296833247503
72,exp_both,0.016865171745396843,0.35794919359928695
73,exp_both,0.012706229242498495,0.38628683908185846
74,exp_both,0.016602336692632152,0.37293382282521786
75,exp_both,0.016535865358693058,0.378337973332721
76,exp_both,0.01968757318727634,0.3544045466242703
77,exp_both,0.005620926949958824,0.37181292993125487
78,exp_both,0.005324897846053886,0.37463649119377923
79,exp_both,0.02069885658234485,0.37507472194959957
80,exp_both,0.015215110595798506,0.3878155827903383
81,exp_both,0.01531595439365287,0.36360191588809176
82,exp_both,0.015820214572508977,0.3877976032216089
83,exp_both,0.013699802399424477,0.3673484614278715
84,exp_both,0.02577334936909558,0.36026414146680535
85,exp_both,0.011208725749570596,0.3579441387313532
86,exp_both,0.015683730063916355,0.3810999361810717
87,exp_both,0.016159162914609577,0.37486696330761426
88,exp_both,0.015040001089274635,0.3639789295967521
89,exp_both,0.025668649549597525,0.36146101477996595
90,exp_both,0.017072106287975376,0.3801370795084052
91,exp_both,0.01743188617926984,0.35771789287908234
92,exp_both,0.012354398327980189,0.36932359843849866
93,exp_both,0.010904721226745696,0.3795740568777599
94,exp_both,0.014229585601780694,0.38182740344030175
95,exp_both,0.024062901094954646,0.3561512136886112
96,exp_both,0.013562723741106885,0.3621211302459521
97,exp_both,0.008917780300722362,0.37423973960240015
98,exp_both,0.010840489921491617,0.36988390878157024
99,exp_both,0.01837823498467866,0.37060448251312644
100,exp_both,0.017933574962223472,0.3746616464044607
101,exp_both,0.017415091945858902,0.3545808459486021
102,exp_both,0.01116663181062159,0.38356356656354046
103,exp_both,0.015828081137431498,0.3661047409066052
104,exp_both,0.011888358874172163,0.3646524750438242
105,exp_both,0.01983101086060108,0.3614338366023663
106,exp_both,0.022453316000499966,0.3728002486715676
107,exp_both,0.025183319320541436,0.3571726526604641
108,exp_both,0.01444726219382114,0.36935644488382346
109,exp_both,0.02420998999875381,0.34793741189914196
110,exp_both,0.015299856329283632,0.34946925250065347
111,exp_both,0.02140430033891107,0.3735859813916148
112,exp_both,0.01190921104338579,0.3636283100942057
113,exp_both,0.01578393312970832,0.3586589063263031
114,exp_both,0.0157920848925483,0.3589414523592744
115,exp_both,0.006447334827772736,0.3840442656167143
116,exp_both,0.013131828582448763,0.38905691209772214
117,exp_both,0.011840614270993265,0.3677471907760472
118,exp_both,0.007725421568483782,0.3588739678571327
119,exp_both,0.014654076144795771,0.3674491327881616
120,exp_both,0.017468809273673475,0.3688767456130556
121,exp_both,0.0191140374867591,0.3730527076871495
122,exp_both,0.01363539784256247,0.35753926187460816
123,exp_both,0.007001814643651675,0.3655046652103315
124,exp_both,0.012145865481433303,0.3747824871621433
125,exp_both,0.012959090068801023,0.3653556939832285
126,exp_both,0.019764477478225465,0.36586196240872604
127,exp_both,0.008338134487196412,0.3773191120907092
128,exp_both,0.02146148904414803,0.3646443030821804
129,exp_both,0.0286338779980829,0.35499372790365413
130,exp_both,0.014508970638727775,0.36239551088208855
131,exp_both,0.016331375060955524,0.3693674966442575
132,exp_both,0.020931896775421108,0.3456126472667418
133,exp_both,0.009971343835902763,0.36699597187731614
134,exp_both,0.022911314955329956,0.35913429052496754
135,exp_both,0.02212611622753351,0.3530101343201753
136,exp_both,0.016361229568725613,0.36781752614515667
137,exp_both,0.019051099707158646,0.3547092366570002
138,exp_both,0.018829059886233894,0.3652640249818658
139,exp_both,0.01959153063831179,0.3714805686395079
140,exp_both,0.012299618460593116,0.37092204041409355
141,exp_both,0.021915915744244136,0.3687298709049382
142,exp_both,0.013704244910993738,0.38094096346596007
143,exp_both,0.017768289374248358,0.37297942365520886
144,exp_both,0.013028673100392796,0.3670744689995487
145,exp_both,0.017825596557981157,0.38663580307705947
146,exp_both,0.010821421299226173,0.3638543666656422
147,exp_both,0.015807769650924192,0.37475806840672043
148,exp_both,0.01274790723041818,0.3643352212001875
149,exp_both,0.019091688742973907,0.3647071473903391
150,exp_both,0.01811528932830831,0.36397929444428945
151,exp_both,0.02134686462107993,0.36811093044568155
152,exp_both,0.01581480910598081,0.3727991512057718
153,exp_both,0.015227223734442387,0.35876256418967334
154,exp_both,0.016370977383830403,0.3619322003821563
155,exp_both,0.018481246739606834,0.3652473381550277
156,exp_both,0.020045831915998583,0.3535378053570316
157,exp_both,0.015749896911587145,0.35832344488480544
158,exp_both,0.016252387284183913,0.3763776732316667
159,exp_both,0.009835695216970653,0.37065744954965396
160,exp_both,0.01295268180887705,0.3524316678162878
161,exp_both,0.014623677906293497,0.3595413522564164
162,exp_both,0.01276458636189668,0.37452070938767795
163,exp_both,0.011020293377076674,0.3742482868538458
164,exp_both,0.00883892223673267,0.3582849679837926
165,exp_both,0.0168501921325803,0.37915657330359287
166,exp_both,0.022934126948829386,0.36006979631781455
167,exp_both,0.020498600681684728,0.3575659799873168
168,exp_both,0.02263745162603234,0.3629032824552459
169,exp_both,0.006782477211109077,0.3698448526463452
170,exp_both,0.01587637116695792,0.3528212722140779
171,exp_both,0.0143480659723648,0.3685332488952637
172,exp_both,0.01172817927223164,0.3525023981185347
173,exp_both,0.018404003347405024,0.3600435885347539
