model,fold,region,gamma,n,rmse,mae,bias_pred_minus_actual,centered_rmse,offset_actual_minus_pred,offset_calibrated_rmse,spearman
baseline,1,interpolation_D_le_300B,0.0,64,0.1427729349056001,0.12090185713208623,0.00028021937597037805,0.1427726599130942,-0.00028021937597037805,0.1427726599130942,0.8914996548599357
baseline,2,interpolation_D_le_300B,0.0,56,0.13821388811859553,0.1127488368506204,-0.005031225428446465,0.1381222850938537,0.005031225428446465,0.1381222850938537,0.872239917054383
baseline,3,interpolation_D_le_300B,0.0,56,0.13709773908042747,0.10860930598981221,0.0018358556003661034,0.1370854466935844,-0.0018358556003661034,0.1370854466935844,0.9191939341219083
baseline,4,interpolation_D_le_300B,0.0,56,0.1473511381001697,0.12250300638361089,0.009988438639034156,0.14701220695224437,-0.009988438639034156,0.14701220695224437,0.8727923172551774
baseline,5,interpolation_D_le_300B,0.0,56,0.13480668305431076,0.11020651366876974,-0.007102276398231537,0.13461946169134878,0.007102276398231537,0.13461946169134878,0.8910215238813931
exp_D,1,interpolation_D_le_300B,0.5318927089515366,64,0.09188860126555635,0.07140887628220852,0.00028021937653631424,0.09188817399231207,-0.00028021937653631424,0.09188817399231207,0.9588369963369963
exp_D,2,interpolation_D_le_300B,0.5256529399939913,56,0.07397871363894251,0.060798836298814406,-0.005516262421908994,0.07377276543932249,0.005516262421908994,0.07377276543932249,0.9664388243335613
exp_D,3,interpolation_D_le_300B,0.5419159360152491,56,0.09032281283997853,0.07418197224807144,0.010144881245323796,0.08975127800674523,-0.010144881245323796,0.08975127800674523,0.9649350649350651
exp_D,4,interpolation_D_le_300B,0.5470282670151871,56,0.11063518986556878,0.08288335971048033,0.015461520531176094,0.10954947110531603,-0.015461520531176094,0.10954947110531603,0.9468899521531101
exp_D,5,interpolation_D_le_300B,0.5383261948675023,56,0.09885115055034124,0.07413441586811327,-0.020215032361419583,0.09676209191492807,0.020215032361419583,0.09676209191492807,0.9628844839371156
exp_N,1,interpolation_D_le_300B,0.5420069973976426,64,0.06602785293487938,0.054760521342436703,0.002381645505000675,0.06598488560176921,-0.002381645505000675,0.06598488560176921,0.9757326007326007
exp_N,2,interpolation_D_le_300B,0.5256867013693839,56,0.06732388815544062,0.05527712785731576,-0.0170958948081244,0.06511709681086698,0.0170958948081244,0.06511709681086698,0.9740943267259058
exp_N,3,interpolation_D_le_300B,0.5427541898314097,56,0.06842175106580253,0.05577835833314197,-0.004388928670145532,0.06828084155924724,0.004388928670145532,0.06828084155924724,0.9785372522214627
exp_N,4,interpolation_D_le_300B,0.5481380484111777,56,0.0826970690798321,0.06897228849409402,0.015109142146653345,0.08130509859773091,-0.015109142146653345,0.08130509859773091,0.9701982228298018
exp_N,5,interpolation_D_le_300B,0.5539552971340469,56,0.06643101440774737,0.05169208095324793,0.004557412722456506,0.06627450237096866,-0.004557412722456506,0.06627450237096866,0.9818181818181817
exp_both,1,interpolation_D_le_300B,0.3665212092945027,64,0.058410857584836155,0.046197653223593746,0.0016133145852109954,0.05838857336709947,-0.0016133145852109954,0.05838857336709947,0.9805402930402929
exp_both,2,interpolation_D_le_300B,0.36190537504723536,56,0.05392170735139332,0.044994239345521936,-0.013171666448227854,0.05228821785704627,0.013171666448227854,0.05228821785704627,0.9831852358168147
exp_both,3,interpolation_D_le_300B,0.36727245133855013,56,0.05811802399106699,0.04774992384250205,0.0031687206660518624,0.05803157693848043,-0.0031687206660518624,0.058031576938480434,0.980246069719754
exp_both,4,interpolation_D_le_300B,0.3636630459684981,56,0.0702256151331951,0.05386010409727996,0.016568523976733474,0.0682431024651433,-0.016568523976733474,0.0682431024651433,0.9723855092276146
exp_both,5,interpolation_D_le_300B,0.3656915571726283,56,0.056853560425098856,0.04428557147860933,-0.008280701851602503,0.056247287133294126,0.008280701851602503,0.05624728713329412,0.9820232399179768
power_D,1,interpolation_D_le_300B,0.2209048876193004,64,0.09875324521449991,0.07856349567682952,0.000280219376151504,0.09875284764246739,-0.000280219376151504,0.0987528476424674,0.9555860805860806
power_D,2,interpolation_D_le_300B,0.2170226462295654,56,0.08002823259058868,0.06535269344828679,-0.005398797320812133,0.07984592036580299,0.005398797320812133,0.07984592036580299,0.9620642515379357
power_D,3,interpolation_D_le_300B,0.22311482783750528,56,0.09215282087553471,0.07650072813335759,0.008109705470648987,0.09179528894500912,-0.008109705470648987,0.09179528894500912,0.9632946001367056
power_D,4,interpolation_D_le_300B,0.22501318404437792,56,0.11172967355909258,0.08877393520875897,0.014116003085052422,0.11083437377692978,-0.014116003085052422,0.11083437377692978,0.9526999316473002
power_D,5,interpolation_D_le_300B,0.22112954295035459,56,0.09865433977156551,0.07364553908876836,-0.01697713392670421,0.09718258938409823,0.01697713392670421,0.09718258938409823,0.9684894053315107
linear_D,1,interpolation_D_le_300B,0.6609652939601807,64,0.09194560713375974,0.07156763085581652,0.00028021937599482377,0.09194518012542585,-0.00028021937599482377,0.09194518012542585,0.9561813186813187
linear_D,2,interpolation_D_le_300B,0.6536678137074722,56,0.07504609773849584,0.06190115753595419,-0.005532098647810901,0.07484191786911101,0.005532098647810901,0.07484191786911101,0.9664388243335613
linear_D,3,interpolation_D_le_300B,0.6802606862238894,56,0.09156789629609743,0.07435515638783234,0.010445509183613652,0.09097016527404958,-0.010445509183613652,0.09097016527404958,0.9641831852358168
linear_D,4,interpolation_D_le_300B,0.6888263055300203,56,0.11172670788160238,0.08326667893582725,0.015666557690090035,0.11062285579483108,-0.015666557690090035,0.11062285579483108,0.9493506493506494
linear_D,5,interpolation_D_le_300B,0.6756702059166156,56,0.10022344304749208,0.0751367481697145,-0.020705769407531032,0.09806125457863589,0.020705769407531032,0.09806125457863589,0.9615857826384143
exp,1,interpolation_D_le_300B,0.5318927089515366,64,0.09188860126555635,0.07140887628220852,0.00028021937653631424,0.09188817399231207,-0.00028021937653631424,0.09188817399231207,0.9588369963369963
exp,2,interpolation_D_le_300B,0.5256529399939913,56,0.07397871363894251,0.060798836298814406,-0.005516262421908994,0.07377276543932249,0.005516262421908994,0.07377276543932249,0.9664388243335613
exp,3,interpolation_D_le_300B,0.5419159360152491,56,0.09032281283997853,0.07418197224807144,0.010144881245323796,0.08975127800674523,-0.010144881245323796,0.08975127800674523,0.9649350649350651
exp,4,interpolation_D_le_300B,0.5470282670151871,56,0.11063518986556878,0.08288335971048033,0.015461520531176094,0.10954947110531603,-0.015461520531176094,0.10954947110531603,0.9468899521531101
exp,5,interpolation_D_le_300B,0.5383261948675023,56,0.09885115055034124,0.07413441586811327,-0.020215032361419583,0.09676209191492807,0.020215032361419583,0.09676209191492807,0.9628844839371156
