domain,training_mean_share,recommended_share,delta_share,delta_macro_loss,centered_local_gradient
ubuntu_irc,0.0195999982840058,0.0402407196374428,0.01,-0.0062533703853687,-0.6130804336546221
dm_mathematics,0.0254628540970504,0.0306722047770307,0.01,-0.005982293967158,-0.5829967688706591
stackexchange,0.0994324234441301,0.0854297688031685,0.01,-0.0012216947090239,-0.11002186433967824
pubmed_abstracts,0.0661811661125716,0.0796189519021765,0.01,-0.0003487238746371,-0.032564492196232246
wikipedia_en,0.0750777560798362,0.1114518234130044,0.01,5.518614390159344e-05,0.005104289205076286
arxiv,0.1130225258326927,0.057682602479935,0.01,0.0002102907042789,0.01865231177221629
gutenberg_pg_19,0.0469149442475353,0.0770874366601543,0.01,0.0002014885093509,0.019203568716818352
pubmed_central,0.1137541910505835,0.1039199304425759,0.01,0.0002806888568938,0.02487593230409328
github,0.1107006600705091,0.0440357898607204,0.01,0.0002807925160921,0.024970859921784546
pile_cc,0.1194875977918856,0.1513276542875281,0.01,0.000289476477968,0.025488762899834802
uspto_backgrounds,0.0755647530933358,0.079890606087891,0.01,0.0003629945286891,0.033556493675447635
nih_exporter,0.0058896802170959,0.0107686466740087,0.01,0.0003562708374477,0.03541725161444561
freelaw,0.0968248321520278,0.0786116976211951,0.01,0.0005773454012435,0.0521444029674353
hackernews,0.0116508223781086,0.0254967061951405,0.01,0.0010490205496033,0.10367985975088861
europarl,0.0127370647540315,0.0150937820286088,0.01,0.0015950309878721,0.15747149748948863
philpapers,0.005487697351193,0.0057878123417054,0.01,0.003511912409551,0.3492640097123485
enron_emails,0.0022110330434062,0.0028838667877129,0.01,0.0159042986034034,1.5869133673659075
