model,N_params_B,D_tokens_B,Q_score,delta_Q,N_multiplier,bootstrap_low,bootstrap_high,bootstrap_valid_fraction,bootstrap_pairing,inside_B6_support
exp_both,0.07,10,0.3,0.1,1.2091533506218803,1.198130343510822,1.2232386301954556,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,10,0.5,0.1,1.2091533506218803,1.198130343510822,1.2232386301954556,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,10,0.7,0.1,1.2091533506218803,1.198130343510822,1.2232386301954556,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,10,0.9,0.1,1.2091533506218803,1.198130343510822,1.2232386301954556,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,50,0.3,0.1,1.173165393042353,1.1642087059865673,1.1845806980868396,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,50,0.5,0.1,1.173165393042353,1.1642087059865673,1.1845806980868396,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,50,0.7,0.1,1.173165393042353,1.1642087059865673,1.1845806980868396,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,50,0.9,0.1,1.173165393042353,1.1642087059865673,1.1845806980868396,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,150,0.3,0.1,1.1569126040491473,1.1488668617081261,1.1671543639387916,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,150,0.5,0.1,1.1569126040491473,1.1488668617081261,1.1671543639387916,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,150,0.7,0.1,1.1569126040491473,1.1488668617081261,1.1671543639387916,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,150,0.9,0.1,1.1569126040491473,1.1488668617081261,1.1671543639387916,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,300,0.3,0.1,1.1490612696384437,1.1414505776767698,1.1587433689427953,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,300,0.5,0.1,1.1490612696384437,1.1414505776767698,1.1587433689427953,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,300,0.7,0.1,1.1490612696384437,1.1414505776767698,1.1587433689427953,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,300,0.9,0.1,1.1490612696384437,1.1414505776767698,1.1587433689427953,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,600,0.3,0.1,1.1426479695916627,1.1353902168715118,1.1518764329948488,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,600,0.5,0.1,1.1426479695916627,1.1353902168715118,1.1518764329948488,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,600,0.7,0.1,1.1426479695916627,1.1353902168715118,1.1518764329948488,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.07,600,0.9,0.1,1.1426479695916627,1.1353902168715118,1.1518764329948488,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,10,0.3,0.1,1.2426220562600558,1.2296179451164808,1.259264908995237,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,10,0.5,0.1,1.2426220562600558,1.2296179451164808,1.259264908995237,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,10,0.7,0.1,1.2426220562600558,1.2296179451164808,1.259264908995237,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,10,0.9,0.1,1.2426220562600558,1.2296179451164808,1.259264908995237,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,50,0.3,0.1,1.1935114602444272,1.183395164401563,1.206416563280383,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,50,0.5,0.1,1.1935114602444272,1.183395164401563,1.206416563280383,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,50,0.7,0.1,1.1935114602444272,1.183395164401563,1.206416563280383,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,50,0.9,0.1,1.1935114602444272,1.183395164401563,1.206416563280383,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,150,0.3,0.1,1.1715505243919744,1.1626851995600092,1.1828428356783638,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,150,0.5,0.1,1.1715505243919744,1.1626851995600092,1.1828428356783638,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,150,0.7,0.1,1.1715505243919744,1.1626851995600092,1.1828428356783638,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,150,0.9,0.1,1.1715505243919744,1.1626851995600092,1.1828428356783638,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,300,0.3,0.1,1.160990455361482,1.152717652137003,1.1715202979823653,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,300,0.5,0.1,1.160990455361482,1.152717652137003,1.1715202979823653,1.0,same_replicate_cluster_bootstrap,True
exp_both,0.16,300,0.7,0.1,1.160990455361482,1.152717652137003,1.1715202979823653,1.0,same_replicate_cluster_bootstrap,True
