quality_cost,budget_lower_FLOPs,budget_upper_FLOPs,budget_estimate_FLOPs,from_active_set,to_active_set,interpretation
exponential,8.939382259795644e+19,8.939521852955936e+19,8.939452056103315e+19,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,Q:interior|Nmin:0|Nmax:0|Dmin:0|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
exponential,1.544815726031906e+20,1.5448398491427655e+20,1.5448277875402493e+20,Q:interior|Nmin:0|Nmax:0|Dmin:0|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
exponential,1.339553016498163e+22,1.3395739343237484e+22,1.3395634753701258e+22,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:1,"active-set bracket; model/support transition, not real-world technology transition"
exponential,2.417511775041137e+22,2.417549525760249e+22,2.4175306503270064e+22,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:1,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,"active-set bracket; model/support transition, not real-world technology transition"
logarithmic,1.718467528521708e+19,1.7184943632968854e+19,1.718480945856917e+19,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
logarithmic,2.445532737256205e+19,2.4455709255373943e+19,2.445551831322259e+19,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:1|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
logarithmic,6.121317264454295e+19,6.1214128520460616e+19,6.121365058063598e+19,Q:upper|Nmin:0|Nmax:0|Dmin:1|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
logarithmic,1.1073486912383537e+22,1.107365983071152e+22,1.1073573371210004e+22,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:1,"active-set bracket; model/support transition, not real-world technology transition"
logarithmic,2.3470960914490546e+22,2.3471327425901957e+22,2.3471144169480848e+22,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:1,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,"active-set bracket; model/support transition, not real-world technology transition"
power,1.1193095142164962e+20,1.1193269928238422e+20,1.1193182534860523e+20,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:1|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
power,1.2712599114437032e+20,1.2712710082618388e+20,1.271265459840663e+20,Q:upper|Nmin:0|Nmax:0|Dmin:1|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,"active-set bracket; model/support transition, not real-world technology transition"
power,1.4270726142799928e+22,1.4270948987701742e+22,1.4270837564815857e+22,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:1,"active-set bracket; model/support transition, not real-world technology transition"
power,2.4459146469040682e+22,2.4459528411489774e+22,2.4459337439519705e+22,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:1,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,"active-set bracket; model/support transition, not real-world technology transition"
