replicate,budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
0,1e+19,2048,exponential,0.4,0.1304553087264462,10.0,0.5517969555082108,3.297324480745649,7.827318523586771e+18,5.3434494454352365e+17,1.638336531869703e+18,9.999999999999998e+18,2.220446049250313e-16,0.7827318523586773,0.053434494454352374,0.1638336531869703,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
0,1e+21,2048,exponential,0.4,2.3234292554518396,53.14538764079704,1.0,2.3830621037785877,7.408772906217388e+20,5.0577223039777374e+19,2.0854548633848388e+20,1e+21,0.0,0.7408772906217388,0.05057722303977737,0.20854548633848388,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
0,1e+22,2048,exponential,0.4,5.644906165327018,249.34144729596036,1.0,2.1705609263745766,8.44505443867517e+21,5.765157163468916e+20,9.784298449779386e+20,1e+22,0.0,0.844505443867517,0.05765157163468916,0.09784298449779386,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
3,1e+19,2048,exponential,0.4,0.1282280414130437,9.999999999999998,0.5602599646866009,3.3010272614745317,7.69368248478262e+18,5.25222057627827e+17,1.781095457589552e+18,9.999999999999998e+18,2.220446049250313e-16,0.7693682484782621,0.05252220576278271,0.17810954575895524,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
3,1e+21,2048,exponential,0.4,2.32273149809852,53.15802248075572,1.0,2.368535242058558,7.408308791560831e+20,5.057405468372195e+19,2.0859506616019488e+20,9.999999999999999e+20,1.1102230246251565e-16,0.7408308791560833,0.050574054683721954,0.2085950661601949,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
3,1e+22,2048,exponential,0.4,5.641356296718332,249.48298710903777,1.0,2.1560209688475673,8.444534521510011e+21,5.764802233350834e+20,9.789852551549043e+20,1e+22,0.0,0.8444534521510011,0.05764802233350834,0.09789852551549043,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
7,1e+19,2048,exponential,0.4,0.12864295215074226,10.0,0.5587156421701298,3.304744100810786,7.718577129044536e+18,5.269215320094404e+17,1.7545013389460234e+18,9.999999999999998e+18,2.220446049250313e-16,0.7718577129044537,0.052692153200944045,0.17545013389460237,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
7,1e+21,2048,exponential,0.4,2.3228778594044925,53.15537170384214,1.0,2.3757782631310014,7.408406162356259e+20,5.057471940168539e+19,2.0858466436268887e+20,1.0000000000000003e+21,0.0,0.7408406162356258,0.050574719401685383,0.20858466436268883,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
7,1e+22,2048,exponential,0.4,5.642650331356893,249.4313729516518,1.0,2.1632838171921187,8.444724115418657e+21,5.7649316627924694e+20,9.787827183020969e+20,1.0000000000000002e+22,0.0,0.8444724115418655,0.057649316627924684,0.09787827183020967,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
11,1e+19,2048,exponential,0.4,0.12869204350868899,9.999999999999998,0.5585319708781099,3.311154252919602,7.721522610521338e+18,5.2712261021159e+17,1.7513547792670712e+18,9.999999999999998e+18,2.220446049250313e-16,0.772152261052134,0.05271226102115901,0.17513547792670717,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
11,1e+21,2048,exponential,0.4,2.3231878640716124,53.149758024382244,1.0,2.3825765232200946,7.408612369235256e+20,5.05761271073127e+19,2.085626359691616e+20,1e+21,0.0,0.7408612369235257,0.0505761271073127,0.20856263596916158,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
11,1e+22,2048,exponential,0.4,5.64401849113544,249.37682544351878,1.0,2.1700586984744143,8.444924484383249e+21,5.7650684480056315e+20,9.785686708161881e+20,1e+22,0.0,0.8444924484383248,0.057650684480056315,0.09785686708161881,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
15,1e+19,2048,exponential,0.4,0.1284758632335437,9.999999999999998,0.5593392790932866,3.302607199873359,7.708551794012622e+18,5.2623713580459494e+17,1.7652110701827835e+18,1e+19,0.0,0.7708551794012621,0.05262371358045949,0.17652110701827833,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
15,1e+21,2048,exponential,0.4,2.323572564897387,53.14279336764505,1.0,2.3722807942080935,7.408868201464251e+20,5.0577873588662624e+19,2.0853530626491223e+20,1e+21,0.0,0.7408868201464252,0.05057787358866263,0.20853530626491223,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
15,1e+22,2048,exponential,0.4,5.645257950596529,249.32742971369163,1.0,2.159779534965346,8.445105929358089e+21,5.765192314441788e+20,9.783748391977328e+20,1e+22,0.0,0.8445105929358089,0.05765192314441788,0.09783748391977329,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
18,1e+19,2048,exponential,0.4,0.1286435849983032,10.0,0.5587132757102337,3.3104376233116595,7.718615099898191e+18,5.269241241530499e+17,1.7544607759487583e+18,9.999999999999998e+18,2.220446049250313e-16,0.7718615099898193,0.052692412415305,0.17544607759487585,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
