budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set,status,reason
1e+19,2048,exponential,0.4,0.1289818120590098,9.999999999999998,0.557443682606086,3.306351980447957,7.738908723540586e+18,5.2830950219370406e+17,1.732781774265709e+18,1e+19,0.0,0.7738908723540586,0.052830950219370405,0.17327817742657092,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,2048,power,0.4,0.14208155170659692,10.0,0.4565932306071731,3.338319402069784,8.524893102395816e+18,5.81966035790221e+17,8.931408618139635e+17,1e+19,0.0,0.8524893102395816,0.05819660357902211,0.08931408618139634,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,2048,logarithmic,0.4,0.15601597603594608,10.0,0.4,3.3455930393524493,9.360958562156765e+18,6.390414378432352e+17,0.0,1e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,lower,False,False,True,False,False,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,4096,exponential,0.4,0.12153166531878437,9.999999999999998,0.5562478457483745,3.3241132381299217,7.291899919127062e+18,9.955874022914816e+17,1.712512678581457e+18,9.999999999999998e+18,2.220446049250313e-16,0.7291899919127062,0.09955874022914818,0.1712512678581457,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,4096,power,0.4,0.13386227772414475,9.999999999999998,0.4554608895220942,3.356150487395535,8.031736663448685e+18,1.0965997791161937e+18,8.716635574351232e+17,1.0000000000000002e+19,0.0,0.8031736663448683,0.10965997791161934,0.08716635574351231,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,4096,logarithmic,0.4,0.14664476771468793,10.0,0.4,3.3632297960546547,8.798686062881277e+18,1.2013139371187236e+18,0.0,1e+19,0.0,0.8798686062881277,0.12013139371187236,0.0,lower,False,False,True,False,False,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,8192,exponential,0.4,0.10897364585326169,10.0,0.5540811985692358,3.3576084461079976,6.538418751195702e+18,1.7854242136598397e+18,1.676157035144459e+18,1e+19,0.0,0.6538418751195701,0.17854242136598397,0.16761570351444588,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,8192,power,0.4,0.12000876127180532,10.0,0.4534143473521378,3.3897778022595073,7.200525676308319e+18,1.9662235446772585e+18,8.332507790144215e+17,1e+19,0.0,0.7200525676308319,0.19662235446772586,0.08332507790144214,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,8192,logarithmic,0.4,0.13091746962714707,9.999999999999998,0.4,3.3965085229943015,7.855048177628823e+18,2.1449518223711772e+18,0.0,1e+19,0.0,0.7855048177628823,0.21449518223711772,0.0,lower,False,False,True,False,False,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0,feasible,
1e+19,32768,exponential,0.4,0.070542,10.0,0.5186788320443939,3.521934288881236,4.23252e+18,4.623040512e+18,1.1444394880000013e+18,1.0000000000000002e+19,0.0,0.4232519999999999,0.4623040511999999,0.1144439488000001,interior,True,False,True,False,False,Q:interior|Nmin:1|Nmax:0|Dmin:1|Dmax:0,feasible,
