replicate,recommended_minus_training_mean_1m_loss
0,-0.020893430726475152
1,-0.006647530067489235
2,0.0019982413632716415
3,-0.0003294542970327663
4,-0.011577348289586334
5,-0.010686840927969374
6,-0.007962927311765648
7,-0.004221646950112207
8,-0.003578405806528996
9,-0.005722922587910333
10,-0.003856350598443043
11,-0.0020929635721088306
12,-0.011997239285078943
13,-0.014497936669770357
14,0.003775071564118479
15,-0.004203327755922977
16,-0.01691834939696038
17,-0.0035354479504435803
18,-0.0068984065326784215
19,-0.005708048478082449
20,-0.012352746572160185
21,-0.009565254334191314
22,-0.010485664487519041
23,-0.0104842217635743
24,-0.009431894015261002
25,-0.012555863375100925
26,-0.004240323065458471
27,-0.0110142481271835
28,-0.015448981624850195
29,-0.008877869244065478
30,-0.00962167021841994
31,-0.0014617045090390395
32,-0.011523178743480997
33,-0.006726327980812619
34,-0.011571233026603959
35,-0.003109508009043735
36,-0.007323742399186619
37,-0.007701299922075244
38,-0.017971785180983718
39,-0.00859289210927264
40,-0.00662371235144146
41,-0.0003969377881777999
42,-0.01566421065888173
43,-0.0106642806637916
44,-0.009072474864762205
45,-0.0042682125793250415
46,-0.005195494339115463
47,-0.0013433554882265868
48,-0.015727572920556064
49,-0.005785231573615591
50,-0.006876591464804637
51,-0.006722352376012845
52,-0.003005213951484953
53,-0.0014452462125106192
54,-0.002516606498965483
55,-0.0023506411710210104
56,0.004149195037780013
57,4.495633540211978e-05
58,-0.009571927972349778
59,-0.00801884413181625
60,-0.002123264119738023
61,-0.010333948115722635
62,0.0007137485174908715
63,-0.0020151016482513953
64,-0.008905152030350312
65,0.005174860920259034
66,-0.008576502245809872
67,0.0033180730086752094
68,-0.012583464155333474
69,-0.008188646021772078
70,-0.006365484681819066
71,-0.005529157737662074
72,0.0037286145216588636
73,-0.015210994950256206
74,-0.011707142167037407
75,-0.0034622099463401616
76,0.006471050964979068
77,-0.004817580100205379
78,-0.006278251455809016
79,-0.005898834805526087
80,-0.0053426605614154046
81,-0.010829762004027438
82,-0.007203182693176916
83,-0.005031142771042448
84,-0.006209150226641584
85,-0.00968951329140377
86,-0.007608176758800227
87,-0.01022259846956261
88,-0.0036666135402944186
89,-0.01034742065837764
90,-0.0008313417057764644
91,0.004731762562940027
92,-0.01039114193746892
93,-0.0093748777372658
94,-0.0009714415377082945
95,-0.015024195367549151
96,-0.010329884122046423
97,-0.004968597299003827
98,0.0010930730145453874
99,-0.008791404619013328
100,-0.009703153540952312
101,-0.004456087324176
102,-0.0004407586491568024
103,-0.005111620086349706
104,-0.0016026631094955574
105,-0.0019120082685839118
106,0.00022722782616286727
107,-0.012068770395530766
108,-0.010890092999533604
109,-0.009227366373188873
110,-0.01190500953295562
111,-0.006142932402651435
112,-0.01667519386010493
113,-0.0012538167349348157
114,-0.016543408159892765
115,-0.002200003516793326
116,-0.008403713187818046
117,-0.0031878810985573984
