budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
1e+19,2048,exponential,0.2,0.12037395237741316,10.000000000000002,0.544071894878096,3.334107354203166,7.222437142644791e+18,4.930517089378844e+17,2.2845111484173243e+18,1e+19,0.0,0.7222437142644791,0.04930517089378844,0.22845111484173244,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1e+19,2048,exponential,0.4,0.1289818120590098,9.999999999999998,0.557443682606086,3.306351980447957,7.738908723540586e+18,5.2830950219370406e+17,1.732781774265709e+18,1e+19,0.0,0.7738908723540586,0.052830950219370405,0.17327817742657092,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1e+19,2048,exponential,0.6,0.15601597603594608,10.0,0.6,3.230212846817924,9.360958562156765e+18,6.390414378432352e+17,0.0,1e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,lower,False,False,True,False,False,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1e+19,2048,exponential,0.8,0.15601597603594608,10.0,0.8,3.122954255383645,9.360958562156765e+18,6.390414378432352e+17,0.0,1e+19,0.0,0.9360958562156765,0.06390414378432352,0.0,lower,False,False,True,False,False,Q:lower|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1e+21,2048,exponential,0.2,2.331945259035962,52.77623277374717,1.0,2.380621318663503,7.384277148391084e+20,5.0409998666349806e+19,2.1116228649454164e+20,9.999999999999997e+20,2.220446049250313e-16,0.7384277148391085,0.05040999866634982,0.2111622864945417,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+21,2048,exponential,0.4,2.3230757831585813,53.15178749026019,1.0,2.3801550524200574,7.40853782101288e+20,5.057561819144793e+19,2.0857059970726402e+20,1e+21,0.0,0.740853782101288,0.05057561819144794,0.20857059970726402,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+21,2048,exponential,0.6,2.2932575886692375,54.444970618158415,1.0,2.378589593805546,7.491380522097926e+20,5.114115769752185e+19,1.997207900926854e+20,9.999999999999999e+20,1.1102230246251565e-16,0.7491380522097928,0.05114115769752186,0.19972079009268542,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+21,2048,exponential,0.8,2.1897505635545715,59.330952243818665,1.0,2.3731843559132817,7.795199166727878e+20,5.321522631152898e+19,1.6726485701568315e+20,9.999999999999999e+20,1.1102230246251565e-16,0.7795199166727879,0.05321522631152899,0.1672648570156832,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+22,2048,exponential,0.2,5.65455878089043,248.48087040618225,1.0,2.16778735832386,8.430298125831449e+21,5.7550835205676034e+20,9.941935221117889e+20,9.999999999999998e+21,2.220446049250313e-16,0.843029812583145,0.05755083520567604,0.09941935221117891,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+22,2048,exponential,0.4,5.643267845537445,249.4067501683259,1.0,2.1676452416811185,8.444814562109427e+21,5.76499340773337e+20,9.786860971172366e+20,1e+22,0.0,0.8444814562109426,0.057649934077333695,0.09786860971172365,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+22,2048,exponential,0.6,5.60550795353862,252.5420289082291,1.0,2.167170639839925,8.49375810988715e+21,5.798405536349628e+20,9.264013364778882e+20,1e+22,0.0,0.849375810988715,0.05798405536349628,0.09264013364778881,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+22,2048,exponential,0.8,5.476949217450603,263.68361419305995,1.0,2.165563185159807,8.665090586455359e+21,5.915368507020191e+20,7.433725628426226e+20,1e+22,0.0,0.8665090586455358,0.05915368507020191,0.07433725628426227,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
1e+24,2048,exponential,0.2,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1998979134260658e+21,2.4200537001170626e+22,0.9757994629988294,0.8896828586617113,0.06073568315130617,0.049581458186982556,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
1e+24,2048,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1767969773259706e+21,2.417743606507053e+22,0.9758225639349295,0.8905329284049206,0.06079371457910926,0.048673357015970156,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
1e+24,2048,exponential,0.6,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1000991684489887e+21,2.410073825619355e+22,0.9758992617438065,0.8933669463348032,0.06098718353645591,0.045645870128740926,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
1e+24,2048,exponential,0.8,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,8.454534752597082e+20,2.384609256300427e+22,0.9761539074369957,0.9029069598494179,0.06163844845905361,0.03545459169152839,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
