sample,variant,alpha,n,families,family_group_cv_rmse,inference,best_alpha_within_variant
attachment_linked,N_only,0.1,29,10,9.284068143933128,exploratory_association_not_causal,False
attachment_linked,N_only,1.0,29,10,9.239775486698305,exploratory_association_not_causal,False
attachment_linked,N_only,10.0,29,10,9.037252309077163,exploratory_association_not_causal,True
attachment_linked,C_only,0.1,29,10,6.708264202725717,exploratory_association_not_causal,False
attachment_linked,C_only,1.0,29,10,6.691070329163356,exploratory_association_not_causal,True
attachment_linked,C_only,10.0,29,10,6.873992270154187,exploratory_association_not_causal,False
attachment_linked,N_plus_C,0.1,29,10,7.191779040656816,exploratory_association_not_causal,False
attachment_linked,N_plus_C,1.0,29,10,7.117429709932278,exploratory_association_not_causal,True
attachment_linked,N_plus_C,10.0,29,10,7.421810362101169,exploratory_association_not_causal,False
source_supported_sensitivity,N_only,0.1,15,6,5.519301281196165,exploratory_association_not_causal,False
source_supported_sensitivity,N_only,1.0,15,6,5.501753168571431,exploratory_association_not_causal,False
source_supported_sensitivity,N_only,10.0,15,6,5.443337949322107,exploratory_association_not_causal,True
source_supported_sensitivity,C_only,0.1,15,6,5.348972495726456,exploratory_association_not_causal,False
source_supported_sensitivity,C_only,1.0,15,6,5.296036353084348,exploratory_association_not_causal,False
source_supported_sensitivity,C_only,10.0,15,6,5.178378639560832,exploratory_association_not_causal,True
source_supported_sensitivity,N_plus_C,0.1,15,6,5.111582656922857,exploratory_association_not_causal,True
source_supported_sensitivity,N_plus_C,1.0,15,6,5.184089635438718,exploratory_association_not_causal,False
source_supported_sensitivity,N_plus_C,10.0,15,6,5.25832303913471,exploratory_association_not_causal,False
