type_group,month,models,families,max_score,q90_score,q90_N_B
posttrained,2024-06,17,9,33.35799367075618,28.5743615574153,34.389
posttrained,2024-07,8,6,29.403554842710225,28.781805573180545,25.3114
posttrained,2024-08,9,5,36.8789647220093,33.788488003239536,58.089999999999996
posttrained,2024-09,17,6,46.59714569921449,41.0511912823133,14.77
posttrained,2024-10,6,3,31.820395979169934,30.075759957447758,11.169
posttrained,2024-11,11,2,34.119853368264465,33.549511791224056,14.77
posttrained,2024-12,7,1,46.88867299768723,43.804316234248525,21.967600000000008
posttrained,2025-01,42,5,41.559026792386994,39.0588537779311,14.66
posttrained,2025-02,13,4,41.91906679224076,39.17864962000881,14.6952
posttrained,2025-03,13,2,41.60549009199536,29.942285731218547,14.77
pretrained,2024-06,26,10,26.727912908508134,24.479517636446552,37.194500000000005
pretrained,2024-07,1,1,5.576455936269043,5.576455936269043,1.71
pretrained,2024-08,2,2,6.570411768928537,6.354102782797088,5.415
pretrained,2024-09,6,3,38.00796730514634,34.97951499914765,42.167
pretrained,2024-11,1,1,7.224121473565234,7.224121473565234,0.494
pretrained,2025-01,2,1,6.008531439497028,5.914705117630421,1.4713999999999998
pretrained,2025-02,1,1,17.50987629325843,17.50987629325843,6.919
pretrained,2025-03,1,1,32.436238941896505,32.436238941896505,14.77
