task,family,early_n,late_n,early_mean,late_mean,within_family_delta
IFEval,llama,4,4,55.84216545432784,47.28739189794191,-8.554773556385932
IFEval,phi,5,16,44.90509625571262,36.42689591395276,-8.478200341759859
IFEval,qwen,8,28,40.35715512617632,47.55680799959979,7.199652873423467
BBH,llama,4,4,28.820891183021747,17.62142466608139,-11.199466516940358
BBH,phi,5,16,28.461218938838357,52.49438429702979,24.033165358191432
BBH,qwen,8,28,26.05414498623243,22.47545687176018,-3.57868811447225
MATH Lvl 5,llama,4,4,8.213746223564955,26.62386706948641,18.410120845921455
MATH Lvl 5,phi,5,16,11.253776435045317,37.44807401812689,26.19429758308157
MATH Lvl 5,qwen,8,28,19.760196374622357,28.199179974104442,8.438983599482086
GPQA,llama,4,4,3.8310961968680077,1.7337807606263986,-2.097315436241609
GPQA,phi,5,16,6.442953020134229,15.457214765100671,9.014261744966444
GPQA,qwen,8,28,4.73993288590604,5.668744007670183,0.9288111217641433
MUSR,llama,4,4,3.7255208333333347,4.397916666666666,0.6723958333333315
MUSR,phi,5,16,8.568489583333333,16.234326171874997,7.665836588541664
MUSR,qwen,8,28,9.157779947916666,9.403031994047621,0.24525204613095575
MMLU-PRO,llama,4,4,28.560874704491724,22.260545951536642,-6.300328752955082
MMLU-PRO,phi,5,16,22.133569739952716,46.47029218380615,24.336722443853436
MMLU-PRO,qwen,8,28,23.49567819148936,24.239396002195203,0.7437178107058422
Y,llama,4,4,21.499049099267936,19.987487835389903,-1.5115612638780327
Y,phi,5,16,20.29418399550276,34.08853122498188,13.794347229479119
Y,qwen,8,28,20.594147918723863,22.923769474896233,2.32962155617237
