stratum,target_month,variant,alpha,test_models,test_families,descriptive_screen_pass,rmse,family_balanced_rmse,bias
strict_pretrained,2024-09,N_only,0.1,6,3,False,14.425453499793251,11.03811951860228,-8.926651339117987
strict_pretrained,2024-09,N_plus_time,1.0,6,3,False,17.011875377851823,12.105248302977339,-12.717731095997777
strict_pretrained,2024-09,training_mean,,6,3,False,15.084043909226303,10.927550253987512,-9.594274394477454
strict_pretrained,2025-01,N_only,10.0,3,2,False,9.706589214456994,11.775169763621571,-3.9607402911589684
strict_pretrained,2025-01,N_plus_time,100.0,3,2,False,10.566039072930582,12.336012105872621,-1.8362251901591964
strict_pretrained,2025-01,training_mean,,3,2,False,11.310874800810941,12.833798413027111,-0.6209844847182199
strict_posttrained,2024-07,N_only,10.0,8,6,False,7.1431402703290585,7.1684770760939305,-2.6745917779536996
strict_posttrained,2024-07,N_plus_time,100.0,8,6,False,8.274986275548413,8.870405741721248,-1.587346729154972
strict_posttrained,2024-07,training_mean,,8,6,False,8.653841351575846,9.507181635779796,-0.44726981583803127
strict_posttrained,2024-08,N_only,1.0,9,5,False,6.667969646840338,5.7967314903237686,-1.8635934143824444
strict_posttrained,2024-08,N_plus_time,10.0,9,5,False,6.619261342412806,6.035208521155199,-0.8283463561608974
strict_posttrained,2024-08,training_mean,,9,5,False,10.379628469845755,10.67374787005156,-1.3656546344564702
strict_posttrained,2024-09,N_only,10.0,17,6,True,12.63500089484096,9.078133227110596,-6.656889996478881
strict_posttrained,2024-09,N_plus_time,10.0,17,6,True,11.590082870192608,8.920482020670025,-4.908078732357401
strict_posttrained,2024-09,training_mean,,17,6,True,13.756246185748248,10.963154663621404,-3.4233071231112318
strict_posttrained,2024-10,N_only,10.0,6,3,False,7.52464488744685,8.795743842585738,-5.070716516179147
strict_posttrained,2024-10,N_plus_time,10.0,6,3,False,5.036331862343716,6.815117112178839,-0.9449652025725976
strict_posttrained,2024-10,training_mean,,6,3,False,9.106753535406568,11.549180854951402,-2.696677784708422
strict_posttrained,2024-11,N_only,10.0,11,2,False,9.674429208083493,10.426963089092094,-7.008597333169729
strict_posttrained,2024-11,N_plus_time,10.0,11,2,False,6.763042045276797,11.21528398605507,-2.0121474030974755
strict_posttrained,2024-11,training_mean,,11,2,False,9.761684182682535,13.60582781981393,-5.498848542199291
strict_posttrained,2024-12,N_only,10.0,7,1,False,11.259040558735563,11.259040558735563,-10.035000004150573
strict_posttrained,2024-12,N_plus_time,10.0,7,1,False,6.045175046798781,6.045175046798781,-4.15989658443303
strict_posttrained,2024-12,training_mean,,7,1,False,13.358069691634507,13.358069691634507,-8.43554734507801
strict_posttrained,2025-01,N_only,10.0,41,5,True,8.554072027492701,9.033228632396847,-5.459884299591877
strict_posttrained,2025-01,N_plus_time,1.0,41,5,True,7.831481868262179,11.791630957729572,2.927923436272145
strict_posttrained,2025-01,training_mean,,41,5,True,9.247337418679061,8.725490137205567,-1.2511016538321835
strict_posttrained,2025-02,N_only,100.0,13,4,True,8.806510323744908,8.224924135133254,-3.2869025251035144
strict_posttrained,2025-02,N_plus_time,10.0,13,4,True,7.720092929445207,8.618022699982514,2.4303344524079806
strict_posttrained,2025-02,training_mean,,13,4,True,9.915137678406994,9.665849271057246,-1.2699125750211107
strict_posttrained,2025-03,N_only,100.0,13,2,False,9.515891210235713,7.847670341390232,3.00962767702363
strict_posttrained,2025-03,N_plus_time,10.0,13,2,False,13.092668348887136,10.456979078826448,8.49514536667515
strict_posttrained,2025-03,training_mean,,13,2,False,11.443363224269334,9.552896025321804,5.193386196258218
