stratum,target_month,train_end,test_end,full_calendar_month,train_models,train_families,test_models,test_families,unseen_test_families,test_logN_within_train_minmax_fraction,fit_possible,descriptive_screen_pass
strict_pretrained,2024-07,2024-06-30,2024-07-31,True,27,10,1,1,1,1.0,False,False
strict_pretrained,2024-08,2024-07-31,2024-08-31,True,28,11,2,2,1,0.5,False,False
strict_pretrained,2024-09,2024-08-31,2024-09-30,True,30,12,6,3,1,1.0,True,False
strict_pretrained,2024-10,2024-09-30,2024-10-31,True,36,13,0,0,0,,False,False
strict_pretrained,2024-11,2024-10-31,2024-11-30,True,36,13,1,1,0,1.0,False,False
strict_pretrained,2024-12,2024-11-30,2024-12-31,True,37,13,0,0,0,,False,False
strict_pretrained,2025-01,2024-12-31,2025-01-31,True,37,13,3,2,0,1.0,True,False
strict_pretrained,2025-02,2025-01-31,2025-02-28,True,40,13,1,1,0,1.0,False,False
strict_pretrained,2025-03,2025-02-28,2025-03-13,False,41,13,1,1,0,1.0,False,False
strict_posttrained,2024-07,2024-06-30,2024-07-31,True,16,9,8,6,1,1.0,True,False
strict_posttrained,2024-08,2024-07-31,2024-08-31,True,24,10,9,5,1,0.5555555555555556,True,False
strict_posttrained,2024-09,2024-08-31,2024-09-30,True,33,11,17,6,1,1.0,True,True
strict_posttrained,2024-10,2024-09-30,2024-10-31,True,50,12,6,3,2,1.0,True,False
strict_posttrained,2024-11,2024-10-31,2024-11-30,True,56,14,11,2,0,1.0,True,False
strict_posttrained,2024-12,2024-11-30,2024-12-31,True,67,14,7,1,0,1.0,True,False
strict_posttrained,2025-01,2024-12-31,2025-01-31,True,74,14,41,5,2,0.975609756097561,True,True
strict_posttrained,2025-02,2025-01-31,2025-02-28,True,115,16,13,4,1,1.0,True,True
strict_posttrained,2025-03,2025-02-28,2025-03-13,False,128,17,13,2,0,1.0,True,False
