score_definition,early_n,late_n,early_mean,late_mean,late_minus_early
six_task_mean,34,68,19.927504762928873,23.80328103109024,3.875776268161367
exclude_IFEval,34,68,15.399619403796384,20.453138282691402,5.053518878895018
exclude_BBH,34,68,18.484676344689177,22.836934665047256,4.352258320358079
exclude_MATH Lvl 5,34,68,21.57739171160493,23.30491822184712,1.7275265102421926
exclude_GPQA,34,68,22.72008559444609,27.013733263101155,4.2936476686550655
exclude_MUSR,34,68,22.29149989443622,26.430469100053386,4.138969205617165
exclude_MMLU-PRO,34,68,19.091755628600453,22.780492653801126,3.6887370252006733
task_IFEval,34,68,42.56693155859133,40.55399477308443,-2.012936785506895
task_BBH,34,68,27.141646854127362,28.635012861305178,1.4933660071778156
task_MATH Lvl 5,34,68,11.678070019548604,26.29509507730585,14.617025057757244
task_GPQA,34,68,5.964600605342808,7.751019871035662,1.786419265692854
task_MUSR,34,68,8.107529105392157,10.667340686274509,2.559811580882352
task_MMLU-PRO,34,68,24.106250434570992,28.91722291753581,4.810972482964818
