run_id,N_params_B,D_tokens_B,C_FLOPs_1e21,steps,batch_tokens_M,lr,wd,precision,train_loss,val_loss,ppl
cerebras_0.111B,0.111,14.0,0.009548,1000,14.3,0.0006,0.1,bf16,6.504,6.4979,663.77
cerebras_0.111B,0.111,29.0,0.019095,2000,14.3,0.0006,0.1,bf16,5.8141,5.7942,328.4
cerebras_0.111B,0.111,43.0,0.028643,3000,14.3,0.0006,0.1,bf16,5.4758,5.4529,233.43
cerebras_0.111B,0.111,57.0,0.03819,4000,14.3,0.0006,0.1,bf16,5.1889,5.1848,178.55
cerebras_0.111B,0.111,72.0,0.047738,5000,14.3,0.0006,0.1,bf16,5.0567,5.0399,154.46
cerebras_0.111B,0.111,86.0,0.057285,6000,14.3,0.0006,0.1,bf16,4.9145,4.9005,134.36
cerebras_0.111B,0.111,100.0,0.066833,7000,14.3,0.0006,0.1,bf16,4.7979,4.7688,117.78
cerebras_0.111B,0.111,115.0,0.07638,8000,14.3,0.0006,0.1,bf16,4.74,4.7178,111.92
cerebras_0.111B,0.111,129.0,0.085928,9000,14.3,0.0006,0.1,bf16,4.654,4.6465,104.22
cerebras_0.111B,0.111,143.0,0.095476,10000,14.3,0.0006,0.1,bf16,4.6171,4.6003,99.52
cerebras_0.111B,0.111,158.0,0.105023,11000,14.3,0.0006,0.1,bf16,4.5494,4.522,92.02
cerebras_0.111B,0.111,172.0,0.114571,12000,14.3,0.0006,0.1,bf16,4.4673,4.4305,83.98
cerebras_0.111B,0.111,186.0,0.124118,13000,14.3,0.0006,0.1,bf16,4.4258,4.4228,83.33
cerebras_0.111B,0.111,201.0,0.133666,14000,14.3,0.0006,0.1,bf16,4.4239,4.3766,79.57
cerebras_0.111B,0.111,215.0,0.143213,15000,14.3,0.0006,0.1,bf16,4.3468,4.341,76.79
cerebras_0.111B,0.111,229.0,0.152761,16000,14.3,0.0006,0.1,bf16,4.3317,4.3079,74.28
cerebras_0.111B,0.111,244.0,0.162308,17000,14.3,0.0006,0.1,bf16,4.2845,4.2706,71.56
cerebras_0.111B,0.111,258.0,0.171856,18000,14.3,0.0006,0.1,bf16,4.2927,4.2643,71.12
cerebras_0.111B,0.111,272.0,0.181403,19000,14.3,0.0006,0.1,bf16,4.2413,4.222,68.17
cerebras_0.111B,0.111,287.0,0.190951,20000,14.3,0.0006,0.1,bf16,4.2141,4.1985,66.59
cerebras_0.111B,0.111,301.0,0.200499,21000,14.3,0.0006,0.1,bf16,4.194,4.1726,64.89
cerebras_0.111B,0.111,315.0,0.210046,22000,14.3,0.0006,0.1,bf16,4.177,4.1687,64.63
cerebras_0.111B,0.111,330.0,0.219594,23000,14.3,0.0006,0.1,bf16,4.1775,4.1408,62.85
cerebras_0.111B,0.111,344.0,0.229141,24000,14.3,0.0006,0.1,bf16,4.1204,4.0985,60.25
cerebras_0.111B,0.111,358.0,0.238689,25000,14.3,0.0006,0.1,bf16,4.1116,4.0932,59.93
cerebras_0.111B,0.111,373.0,0.248236,26000,14.3,0.0006,0.1,bf16,4.0762,4.0662,58.34
cerebras_0.111B,0.111,387.0,0.257784,27000,14.3,0.0006,0.1,bf16,4.0537,4.028,56.15
cerebras_0.111B,0.111,401.0,0.267331,28000,14.3,0.0006,0.1,bf16,4.024,3.9989,54.54
cerebras_0.111B,0.111,416.0,0.276879,29000,14.3,0.0006,0.1,bf16,4.0436,4.0339,56.48
cerebras_0.111B,0.111,430.0,0.286427,30000,14.3,0.0006,0.1,bf16,4.0418,4.0147,55.4
cerebras_0.111B,0.111,444.0,0.295974,31000,14.3,0.0006,0.1,bf16,4.0177,4.0021,54.71
cerebras_0.111B,0.111,459.0,0.305522,32000,14.3,0.0006,0.1,bf16,4.006,3.984,53.73
cerebras_0.111B,0.111,473.0,0.315069,33000,14.3,0.0006,0.1,bf16,3.9717,3.9569,52.3
cerebras_0.111B,0.111,487.0,0.324617,34000,14.3,0.0006,0.1,bf16,3.9761,3.9615,52.54
cerebras_0.111B,0.111,502.0,0.334164,35000,14.3,0.0006,0.1,bf16,3.9678,3.9469,51.77
cerebras_0.111B,0.111,516.0,0.343712,36000,14.3,0.0006,0.1,bf16,3.9481,3.927,50.75
cerebras_0.111B,0.111,530.0,0.353259,37000,14.3,0.0006,0.1,bf16,3.9431,3.9224,50.52
cerebras_0.111B,0.111,545.0,0.362807,38000,14.3,0.0006,0.1,bf16,3.9364,3.9095,49.87
cerebras_0.111B,0.111,559.0,0.372355,39000,14.3,0.0006,0.1,bf16,3.9169,3.8948,49.14
cerebras_0.111B,0.111,573.0,0.381902,40000,14.3,0.0006,0.1,bf16,3.9083,3.8842,48.63
cerebras_0.111B,0.111,588.0,0.39145,41000,14.3,0.0006,0.1,bf16,3.9023,3.8751,48.19
cerebras_0.111B,0.111,602.0,0.400997,42000,14.3,0.0006,0.1,bf16,3.8858,3.8797,48.41
cerebras_0.111B,0.111,616.0,0.410545,43000,14.3,0.0006,0.1,bf16,3.9055,3.8736,48.12
cerebras_0.111B,0.111,631.0,0.420092,44000,14.3,0.0006,0.1,bf16,3.8834,3.8393,46.49
cerebras_0.111B,0.111,645.0,0.42964,45000,14.3,0.0006,0.1,bf16,3.8675,3.8422,46.63
cerebras_0.111B,0.111,659.0,0.439187,46000,14.3,0.0006,0.1,bf16,3.8642,3.8504,47.01
cerebras_0.111B,0.111,674.0,0.448735,47000,14.3,0.0006,0.1,bf16,3.8266,3.8098,45.14
cerebras_0.111B,0.111,688.0,0.458283,48000,14.3,0.0006,0.1,bf16,3.8403,3.8163,45.44
cerebras_0.111B,0.111,702.0,0.46783,49000,14.3,0.0006,0.1,bf16,3.8515,3.8145,45.35
cerebras_0.111B,0.111,717.0,0.477378,50000,14.3,0.0006,0.1,bf16,3.7978,3.7898,44.25
cerebras_0.111B,0.111,731.0,0.486925,51000,14.3,0.0006,0.1,bf16,3.8145,3.7948,44.47
cerebras_0.111B,0.111,745.0,0.496473,52000,14.3,0.0006,0.1,bf16,3.7894,3.783,43.95
cerebras_0.111B,0.111,760.0,0.50602,53000,14.3,0.0006,0.1,bf16,3.8108,3.7843,44.0
cerebras_0.111B,0.111,774.0,0.515568,54000,14.3,0.0006,0.1,bf16,3.8136,3.7664,43.23
cerebras_0.111B,0.111,788.0,0.525115,55000,14.3,0.0006,0.1,bf16,3.7797,3.7494,42.5
cerebras_0.111B,0.111,803.0,0.534663,56000,14.3,0.0006,0.1,bf16,3.7611,3.7496,42.51
cerebras_0.111B,0.111,817.0,0.54421,57000,14.3,0.0006,0.1,bf16,3.7668,3.7365,41.95
cerebras_0.111B,0.111,831.0,0.553758,58000,14.3,0.0006,0.1,bf16,3.7516,3.7364,41.95
cerebras_0.111B,0.111,846.0,0.563306,59000,14.3,0.0006,0.1,bf16,3.7568,3.7325,41.78
cerebras_0.111B,0.111,860.0,0.572853,60000,14.3,0.0006,0.1,bf16,3.7677,3.7441,42.27
cerebras_0.111B,0.111,874.0,0.582401,61000,14.3,0.0006,0.1,bf16,3.7733,3.7393,42.07
cerebras_0.111B,0.111,889.0,0.591948,62000,14.3,0.0006,0.1,bf16,3.7385,3.7148,41.05
cerebras_0.111B,0.111,903.0,0.601496,63000,14.3,0.0006,0.1,bf16,3.7519,3.7239,41.42
cerebras_0.111B,0.111,917.0,0.611043,64000,14.3,0.0006,0.1,bf16,3.7462,3.7098,40.84
cerebras_0.111B,0.111,932.0,0.620591,65000,14.3,0.0006,0.1,bf16,3.7191,3.7005,40.47
cerebras_0.111B,0.111,946.0,0.630138,66000,14.3,0.0006,0.1,bf16,3.721,3.7018,40.52
cerebras_0.111B,0.111,960.0,0.639686,67000,14.3,0.0006,0.1,bf16,3.7133,3.6815,39.7
cerebras_0.111B,0.111,975.0,0.649234,68000,14.3,0.0006,0.1,bf16,3.7185,3.6878,39.96
cerebras_0.111B,0.111,989.0,0.658781,69000,14.3,0.0006,0.1,bf16,3.7046,3.6956,40.27
cerebras_0.111B,0.111,1003.0,0.668329,70000,14.3,0.0006,0.1,bf16,3.7001,3.6837,39.79
cerebras_0.111B,0.111,1018.0,0.677876,71000,14.3,0.0006,0.1,bf16,3.7031,3.6756,39.47
cerebras_0.111B,0.111,1032.0,0.687424,72000,14.3,0.0006,0.1,bf16,3.6717,3.6601,38.87
cerebras_0.111B,0.111,1047.0,0.696971,73000,14.3,0.0006,0.1,bf16,3.6815,3.6633,38.99
cerebras_0.111B,0.111,1061.0,0.706519,74000,14.3,0.0006,0.1,bf16,3.6776,3.653,38.59
cerebras_0.111B,0.111,1075.0,0.716066,75000,14.3,0.0006,0.1,bf16,3.6784,3.6523,38.56
cerebras_0.111B,0.111,1090.0,0.725614,76000,14.3,0.0006,0.1,bf16,3.671,3.6565,38.72
cerebras_0.111B,0.111,1104.0,0.735162,77000,14.3,0.0006,0.1,bf16,3.6637,3.6394,38.07
cerebras_0.111B,0.111,1118.0,0.744709,78000,14.3,0.0006,0.1,bf16,3.6662,3.6433,38.22
cerebras_0.111B,0.111,1133.0,0.754257,79000,14.3,0.0006,0.1,bf16,3.6884,3.6521,38.56
cerebras_0.111B,0.111,1147.0,0.763804,80000,14.3,0.0006,0.1,bf16,3.636,3.6144,37.13
cerebras_0.111B,0.111,1161.0,0.773352,81000,14.3,0.0006,0.1,bf16,3.6369,3.6255,37.54
cerebras_0.111B,0.111,1176.0,0.782899,82000,14.3,0.0006,0.1,bf16,3.6058,3.6066,36.84
cerebras_0.111B,0.111,1190.0,0.792447,83000,14.3,0.0006,0.1,bf16,3.6328,3.6165,37.21
cerebras_0.111B,0.111,1204.0,0.801994,84000,14.3,0.0006,0.1,bf16,3.6355,3.6178,37.26
cerebras_0.111B,0.111,1219.0,0.811542,85000,14.3,0.0006,0.1,bf16,3.6512,3.6195,37.32
cerebras_0.111B,0.111,1233.0,0.82109,86000,14.3,0.0006,0.1,bf16,3.615,3.6,36.6
